Date,AAPL,ABT,ADBE,AMGN,AMZN,BA,BKNG,BLK,BMY,CAT,COST,CRM,CSCO,CVX,DHR,DIS,FIS,GE,GILD,GOOGL,HON,IBM,INTC,JPM,KO,LIN,LMT,MCD,MDT,META,MMM,MRK,MSFT,NFLX,NKE,NVDA,ORCL,PEP,PFE,PYPL,QCOM,SAP,SBUX,SPGI,T,TSLA,TXN,UNH,V,WMT,ZTS
2001-03-22,723301600,12100221,12184600,48611900,131892000,6703700,304100,49700,8180698,4427400,5285000,,119093500,9461800,7121954,9117385,,11672849,49011200,,11813573,13941297,94022700,15668200,14688800,2660600,2246600,7568600,7519300,,16116578,7780562,126363200,,15406400,1697760000,63980900,6320300,28896569,,59501800,1295300,37176800,1367800,13046696,,17220700,17008000,,35741700,
2001-03-23,944888000,7061024,9275000,14431300,75088000,4632500,155483,131600,5221811,4683200,7811600,,128395900,7401600,2747728,7512519,,9543495,35204800,,7347204,12796346,84795800,10763200,15672800,1635800,2158900,5210200,4735100,,9353198,8962391,99519600,,11733600,1509672000,72068300,7927700,22009628,,35733800,842300,23750400,823600,10226179,,16215400,8599600,,24846000,
2001-03-26,734451200,6727543,8606200,13068700,137012000,4780200,68100,103500,3644446,4582600,2949400,,120308100,3789800,3072671,5301064,,6498551,29200000,,5913447,8975935,64433900,8319900,11227600,1470400,1238700,5164300,4263300,,6515090,5607953,63118600,,7064000,1542960000,34392600,3998400,16651830,,38035000,529400,23172000,679200,11448628,,14307100,5816000,,20525400,
2001-03-27,543821600,8135649,10526800,10757500,112064000,3634800,194833,37600,4036135,4729400,6082000,,104520000,5296600,3211337,8221085,,7627079,15516800,,4511472,12396355,72645800,12254000,13466000,1893600,2182500,5708700,4534600,,7805574,5910615,95135600,,8483200,1702152000,43943800,3985100,16066227,,43913800,755200,24633600,983600,10574391,,15508500,9350000,,29354400,
2001-03-28,584662400,6004221,12473800,9290400,67738000,2861600,104583,37200,3196547,4884800,4666900,,185769200,3563000,3879076,9149316,,5605478,17827200,,5353958,12437463,73000000,7315300,14176000,1767000,1903300,4168800,3453200,,5346838,5089717,78681600,,6362400,1433280000,46438000,4077200,12710924,,39496800,875600,19444000,1187600,9139440,,17701700,10938800,,20627700,
2001-03-29,613065600,6967240,8812400,9936500,92768000,2814300,192367,34700,5111386,6493200,2704700,,141756600,3887800,2566213,3528941,,5626511,22908800,,2228412,11039170,64852600,6688200,15293800,1642200,1091200,5678900,3557800,,5964452,5654903,86985000,,5832800,1632960000,54250500,3542400,16485614,,36864200,1057600,26839200,1653000,8275132,,13163200,6665200,,23262000,
2001-03-30,400349600,6058353,10839800,7176800,71168000,3742700,314017,51100,5637980,3046800,3652700,,99565700,3907000,2477538,3837202,,6140529,14294400,,5250955,9896520,47297100,8463000,10279600,1120600,1162300,5845400,4021400,,4420655,4855698,91201600,,4391200,1423176000,36956100,3229000,15285213,,29803400,581100,22817600,1034000,7760229,,12090400,11462400,,24925200,
2001-04-02,340911200,5766084,7787200,10778300,176078000,3182600,987900,96900,3789963,4333600,8848900,,75519700,5444400,4347445,3988748,,5059722,25326400,,3259701,9191202,44925500,8743100,10424800,2001800,2270200,4560200,4120500,,5550158,5306234,75924000,,7388800,1265160000,39034400,3854700,16699787,,37414800,889900,16204000,1284400,7705150,,15161700,7739600,,22313700,
2001-04-03,368687200,8578731,13911600,13715100,97314000,3337500,257483,31900,7831036,6232800,8917700,,138417400,5366200,4251034,7319615,,4924279,17044800,,4915408,13943180,57239500,9050300,9345400,2086200,1088000,5562400,5023000,,7795528,6232246,94187600,,6492800,1991616000,71558000,3017700,17231003,,49397200,1389600,19647200,1160400,8790433,,16190300,9202000,,26076300,
2001-04-04,685484800,8713282,10126600,13447600,114162000,2954700,130933,97400,4700366,3690000,5525300,,161707700,5048400,4510511,6380335,,5598675,12929600,,5612095,14137318,84555800,11634000,8798600,1807600,2414000,5456000,7121500,,9627561,5335473,104046600,,5100000,3362472000,49247500,2606600,14592419,,62465400,1455200,26589600,1417000,7932481,,14922200,8889200,,23886300,
2001-04-05,446762400,9010898,9681000,14891000,108484000,2704800,199817,334400,3561023,4707800,5340200,,115077200,4891800,3584485,5383984,,4965052,20753600,,7970047,13081381,67714900,8644900,9242200,1530800,1850000,4362000,5666300,,7080798,5350564,113364000,,13628800,1724760000,44283900,3383100,13208833,,63258000,904000,24699200,1601400,11183166,,12284000,15155600,,23370000,
2001-04-06,324889600,6498317,9332600,12797600,105622000,2785500,115467,115900,3360241,4044600,3632200,,97979300,4428400,3625549,4025038,,5144188,19417600,,10210312,14041713,73965900,9789600,7907800,1517000,812200,3312400,3464900,,4452230,4912919,92622000,,6812800,1547664000,43585800,5701900,12433933,,40943200,920900,69001600,1464000,9445019,,14106200,7660800,,22903200,
2001-04-09,266582400,7483389,7271000,11315400,468114000,2549800,214200,72400,3412039,4280200,2902900,,75640100,4455000,1722909,3349721,,3710283,13137600,,5581152,9922984,60543900,7386400,8231600,1551600,752800,3673600,2393800,,4729462,4635304,56295600,,4030400,1097160000,28898900,6127100,10941047,,23734400,553900,39734400,834400,7628358,,10508500,6402800,,21861900,
2001-04-10,457374400,6387156,24507800,15074600,377208000,4486300,241750,96300,4046221,5092000,4764000,,113387300,5972000,3838607,4737253,,5448397,43772800,,8911025,10982372,55847600,7962300,11896400,1333200,2838900,3751400,4150800,,9298182,6191584,109199400,,15030400,1186416000,48270800,5876700,15220182,,34930600,1678700,25829600,1585400,8995786,,14792200,21452800,,20959500,
2001-04-11,334096000,6747146,14356400,18683700,268436000,3980800,339567,46500,4627449,3430400,5322500,,156531000,5068800,8070596,4505220,,4204103,25352000,,5273087,12027326,91360800,9898000,13748400,2278400,1442500,3405000,3353100,,5470982,5062154,109879600,,10657600,1426872000,66768000,5070500,18286900,,29363800,735100,24724800,1809400,11982200,,23798600,10278400,,20850900,
2001-04-12,298933600,9605907,8345800,10553600,230600000,1607300,119050,69700,4142777,3300200,5121000,,87131700,3530000,7590919,3113026,,3602614,23422400,,4651502,9822045,54027200,6740700,10429200,1799400,849700,2872800,2861900,,3896090,5039622,87520000,,13772000,1440264000,46220500,3177500,11424622,,36153200,996000,40323200,1416400,10179706,,14204600,6153200,,29618400,
